Id. de la fila,Id. del pedido,Fecha del pedido,Fecha de envío,Fecha de facturacion,Año,Forma de envío,Id. del cliente,Nombre del cliente,Segmento,Ciudad,Estado,País,Región,Id. del producto,Categoría,Subcategoría,Nombre del producto,Venta,Cantidad,Descuento,Ganancia
8065,MX-2018-113586,18/11/2018,18/11/2018,25/11/2018,2018,Mismo día,FF-14890,Fidel Ferrer,Empresa,Maceió,Alagoas,Brasil,Sur,MOB-ME-10001571,Mobiliario,Mesas,Bevis Mesa de formación  Montada,3.589,2,20%,493
8066,MX-2018-113586,18/11/2018,18/11/2018,25/11/2018,2018,Mismo día,FF-14890,Fidel Ferrer,Empresa,Maceió,Alagoas,Brasil,Sur,TEC-TE-10002678,Tecnología,Teléfonos,Apple Base de audio  Tamaño completo,4.485,4,0%,493
8837,MX-2017-164938,18/4/2017,23/4/2017,30/4/2017,2017,Rápido,NM-19390,Nidia Mena,Cliente,Maceió,Alagoas,Brasil,Sur,MAT-AR-10000761,Material de oficina,Arte,Boston Bolígrafos  Metal,413,4,0%,157
8838,MX-2017-164938,18/4/2017,23/4/2017,30/4/2017,2017,Rápido,NM-19390,Nidia Mena,Cliente,Maceió,Alagoas,Brasil,Sur,MAT-PA-10001204,Material de oficina,Papel,Green Bar Agenda  Multicolor,504,3,0%,55
8839,MX-2017-164938,18/4/2017,23/4/2017,30/4/2017,2017,Rápido,NM-19390,Nidia Mena,Cliente,Maceió,Alagoas,Brasil,Sur,MAT-SU-10003322,Material de oficina,Suministros,Elite Tijeras  Rectangular,513,4,0%,164
9477,MX-2017-160444,7/11/2017,12/11/2017,19/11/2017,2017,Estándar,VC-21490,Valeria Caldera,Cliente,Maceió,Alagoas,Brasil,Sur,MAT-SO-10002955,Material de oficina,Sobres,Kraft Cierre adhesivo  Rojo,320,2,0%,109
10026,US-2018-154564,4/7/2018,7/7/2018,14/7/2018,2018,Rápido,RC-20440,Reinaldo Córdova,Empresa,Pilar,Alagoas,Brasil,Sur,MOB-ME-10003347,Mobiliario,Mesas,Chromcraft Mesa de café  Rectangular,2.117,3,60%,-529
10027,US-2018-154564,4/7/2018,7/7/2018,14/7/2018,2018,Rápido,RC-20440,Reinaldo Córdova,Empresa,Pilar,Alagoas,Brasil,Sur,MOB-LI-10000283,Mobiliario,Librerías,Ikea Librería  Blanco,1.334,4,60%,-934
10028,US-2018-154564,4/7/2018,7/7/2018,14/7/2018,2018,Rápido,RC-20440,Reinaldo Córdova,Empresa,Pilar,Alagoas,Brasil,Sur,MAT-GR-10001628,Material de oficina,Grapas,Advantus Cintas de goma  Paquete de 12,171,4,60%,-252
10029,US-2018-101623,9/12/2018,11/12/2018,18/12/2018,2018,Rápido,AV-10825,Amelia Vega,Empresa,São Miguel dos Campos,Alagoas,Brasil,Sur,MAT-SU-10000055,Material de oficina,Suministros,Fiskars Recortadora  Rectangular,312,3,60%,-226
10055,US-2015-149041,1/6/2015,6/6/2015,13/6/2015,2015,Estándar,NP-19210,Natalia Paredes,Empresa,Pilar,Alagoas,Brasil,Sur,MAT-PA-10004251,Material de oficina,Papel,Eaton Papel de tipo pergamino  Premium,72,2,60%,-51
10056,US-2015-149041,1/6/2015,6/6/2015,13/6/2015,2015,Estándar,NP-19210,Natalia Paredes,Empresa,Pilar,Alagoas,Brasil,Sur,TEC-CO-10000319,Tecnología,Copiadoras,Hewlett Fotocopiadora con fax  Rojo,2.535,5,60%,-1160
10090,US-2017-139297,5/12/2017,10/12/2017,17/12/2017,2017,Estándar,BF-12040,Bibiana Ferro,Pequeña empresa,Pilar,Alagoas,Brasil,Sur,MAT-GR-10000238,Material de oficina,Grapas,Stockwell Pasadores  Tamaños variados,158,5,60%,-185
10104,US-2018-162999,25/2/2018,2/3/2018,9/3/2018,2018,Estándar,TC-21085,Tina Cardona,Cliente,São Miguel dos Campos,Alagoas,Brasil,Sur,MAT-GR-10004152,Material de oficina,Grapas,Stockwell Grapas  Al por mayor,139,5,60%,-125
10118,US-2015-136007,4/1/2015,11/1/2015,18/1/2015,2015,Estándar,AH-11305,Ariadna Hernández,Pequeña empresa,Pilar,Alagoas,Brasil,Sur,MAT-SO-10002386,Material de oficina,Sobres,Jiffy Sobres de uso interno  50,743,6,60%,-1079
10139,US-2017-165939,20/10/2017,24/10/2017,31/10/2017,2017,Estándar,AR-11335,Adriana Rocha,Pequeña empresa,Pilar,Alagoas,Brasil,Sur,MOB-SI-10002611,Mobiliario,Sillas,Harbour Creations Silla plegable  Rojo,783,3,60%,-1077
10140,US-2017-165939,20/10/2017,24/10/2017,31/10/2017,2017,Estándar,AR-11335,Adriana Rocha,Pequeña empresa,Pilar,Alagoas,Brasil,Sur,MAT-CA-10004233,Material de oficina,Carpetas,Avery Separadores  Transparente,77,5,60%,-45
10141,US-2017-165939,20/10/2017,24/10/2017,31/10/2017,2017,Estándar,AR-11335,Adriana Rocha,Pequeña empresa,Pilar,Alagoas,Brasil,Sur,MOB-SI-10000569,Mobiliario,Sillas,Office Star Silla de playa  Ajustable,772,5,60%,-368
10148,US-2018-126515,18/12/2018,20/12/2018,27/12/2018,2018,Rápido,FV-14740,Felipe Vélez,Empresa,Pilar,Alagoas,Brasil,Sur,MAT-AR-10000946,Material de oficina,Arte,Sanford Lienzos  Azul,674,5,60%,-977
10149,US-2018-126515,18/12/2018,20/12/2018,27/12/2018,2018,Rápido,FV-14740,Felipe Vélez,Empresa,Pilar,Alagoas,Brasil,Sur,MAT-SO-10002557,Material de oficina,Sobres,Cameo Paquetes  50,611,6,60%,-565
10150,US-2016-129546,12/7/2016,12/7/2016,19/7/2016,2016,Mismo día,VC-21535,Victoria Chavarría,Pequeña empresa,São Miguel dos Campos,Alagoas,Brasil,Sur,MAT-AL-10001876,Material de oficina,Almacenamiento,Tenex Bandejas  Industrial,1.021,7,60%,-537
10151,US-2016-129546,12/7/2016,12/7/2016,19/7/2016,2016,Mismo día,VC-21535,Victoria Chavarría,Pequeña empresa,São Miguel dos Campos,Alagoas,Brasil,Sur,MAT-AR-10003061,Material de oficina,Arte,Binney & Smith Lienzos  Metal,842,6,60%,-506
10167,US-2017-150574,25/6/2017,27/6/2017,4/7/2017,2017,Rápido,TA-21175,Teodora Atencio,Empresa,São Miguel dos Campos,Alagoas,Brasil,Sur,MOB-LI-10002241,Mobiliario,Librerías,Safco Librería  Metal,1.979,5,60%,-1831
10168,US-2017-150574,25/6/2017,27/6/2017,4/7/2017,2017,Rápido,TA-21175,Teodora Atencio,Empresa,São Miguel dos Campos,Alagoas,Brasil,Sur,MAT-EL-10002343,Material de oficina,Electrodomésticos,Cuisinart Microondas  Negro,4.446,6,60%,-4669
10169,US-2017-150574,25/6/2017,27/6/2017,4/7/2017,2017,Rápido,TA-21175,Teodora Atencio,Empresa,São Miguel dos Campos,Alagoas,Brasil,Sur,TEC-AC-10003453,Tecnología,Accesorios,Belkin Teclado  Blanco,1.482,10,60%,-1668
10170,US-2017-150574,25/6/2017,27/6/2017,4/7/2017,2017,Rápido,TA-21175,Teodora Atencio,Empresa,São Miguel dos Campos,Alagoas,Brasil,Sur,MOB-LI-10002548,Mobiliario,Librerías,Sauder Conjunto de estantes  Blanco,1.577,3,60%,-1459
10171,US-2017-150574,25/6/2017,27/6/2017,4/7/2017,2017,Rápido,TA-21175,Teodora Atencio,Empresa,São Miguel dos Campos,Alagoas,Brasil,Sur,MAT-AL-10003173,Material de oficina,Almacenamiento,Smead Caja  Tamaño completo,58,2,60%,-54
10187,US-2017-165785,16/11/2017,20/11/2017,27/11/2017,2017,Rápido,PS-19870,Paola Solís,Pequeña empresa,São Miguel dos Campos,Alagoas,Brasil,Sur,MAT-ET-10000741,Material de oficina,Etiquetas,Hon Etiquetas extraíbles  Blanco,82,3,60%,-95
10188,US-2017-165785,16/11/2017,20/11/2017,27/11/2017,2017,Rápido,PS-19870,Paola Solís,Pequeña empresa,São Miguel dos Campos,Alagoas,Brasil,Sur,MAT-SU-10004792,Material de oficina,Suministros,Elite Regla  Acero,317,9,60%,-302
10189,US-2017-165785,16/11/2017,20/11/2017,27/11/2017,2017,Rápido,PS-19870,Paola Solís,Pequeña empresa,São Miguel dos Campos,Alagoas,Brasil,Sur,MAT-GR-10004275,Material de oficina,Grapas,OIC Grapas  Tamaños variados,47,2,60%,-19
10190,US-2017-165785,16/11/2017,20/11/2017,27/11/2017,2017,Rápido,PS-19870,Paola Solís,Pequeña empresa,São Miguel dos Campos,Alagoas,Brasil,Sur,MAT-SO-10002307,Material de oficina,Sobres,Kraft Sobre de hebilla  Rojo,167,5,60%,-214
10229,US-2015-162015,26/2/2015,3/3/2015,10/3/2015,2015,Estándar,AF-10195,Adela Feliciano,Empresa,São Miguel dos Campos,Alagoas,Brasil,Sur,TEC-TE-10001916,Tecnología,Teléfonos,Samsung Teléfono de oficina  Tamaño completo,709,4,60%,-515
10230,US-2015-162015,26/2/2015,3/3/2015,10/3/2015,2015,Estándar,AF-10195,Adela Feliciano,Empresa,São Miguel dos Campos,Alagoas,Brasil,Sur,TEC-AC-10000557,Tecnología,Accesorios,Memorex Ratón  Blanco,208,3,60%,-125
10231,US-2015-162015,26/2/2015,3/3/2015,10/3/2015,2015,Estándar,AF-10195,Adela Feliciano,Empresa,São Miguel dos Campos,Alagoas,Brasil,Sur,MOB-SI-10004340,Mobiliario,Sillas,Harbour Creations Taburete  Rojo,1.441,3,60%,-1117
10232,US-2015-162015,26/2/2015,3/3/2015,10/3/2015,2015,Estándar,AF-10195,Adela Feliciano,Empresa,São Miguel dos Campos,Alagoas,Brasil,Sur,MAT-SU-10004950,Material de oficina,Suministros,Acme Recortadora  Rectangular,220,2,60%,-314
10235,US-2015-117702,17/8/2015,20/8/2015,27/8/2015,2015,Urgente,AR-10420,Azucena Rodríguez,Empresa,São Miguel dos Campos,Alagoas,Brasil,Sur,TEC-TE-10003987,Tecnología,Teléfonos,Nokia Base de audio  Tamaños variados,904,2,60%,-385
10236,US-2015-117702,17/8/2015,20/8/2015,27/8/2015,2015,Urgente,AR-10420,Azucena Rodríguez,Empresa,São Miguel dos Campos,Alagoas,Brasil,Sur,TEC-AC-10004316,Tecnología,Accesorios,Belkin Teclado  Programable,632,4,60%,-743
10243,US-2018-121293,26/9/2018,28/9/2018,5/10/2018,2018,Urgente,JA-16990,Julieta Almanza,Empresa,Pilar,Alagoas,Brasil,Sur,MAT-AL-10002238,Material de oficina,Almacenamiento,Rogers Archivador móvil  Tamaño completo,755,2,60%,-718
10271,US-2016-114860,27/11/2016,1/12/2016,8/12/2016,2016,Estándar,ÁC-10915,Ángel Chávez,Cliente,São Miguel dos Campos,Alagoas,Brasil,Sur,MAT-SU-10002721,Material de oficina,Suministros,Acme Cizallas  Industrial,550,4,60%,-468
10286,US-2016-106523,11/2/2016,15/2/2016,22/2/2016,2016,Estándar,OG-19795,Olvido Godoy,Pequeña empresa,São Miguel dos Campos,Alagoas,Brasil,Sur,MOB-SI-10001930,Mobiliario,Sillas,Harbour Creations Silla de playa  Rojo,493,3,60%,-407
1718,MX-2016-110751,25/12/2016,31/12/2016,7/1/2017,2017,Estándar,AD-10735,Alejandra Duarte,Cliente,Macapá,Amapá,Brasil,Sur,MAT-PA-10004917,Material de oficina,Papel,Green Bar Material de oficina  Multicolor,2.324,7,0%,325
1719,MX-2016-110751,25/12/2016,31/12/2016,7/1/2017,2017,Estándar,AD-10735,Alejandra Duarte,Cliente,Macapá,Amapá,Brasil,Sur,MAT-AR-10004686,Material de oficina,Arte,Binney & Smith Bolígrafos  Azul,159,2,0%,9
1720,MX-2016-110751,25/12/2016,31/12/2016,7/1/2017,2017,Estándar,AD-10735,Alejandra Duarte,Cliente,Macapá,Amapá,Brasil,Sur,MOB-ME-10003239,Mobiliario,Mesas,Bevis Mesa de café  Rectangular,5.052,3,20%,-505
5469,MX-2018-161641,25/11/2018,28/11/2018,5/12/2018,2018,Rápido,BH-11935,Begoña Hinojosa,Cliente,Macapá,Amapá,Brasil,Sur,TEC-TE-10004444,Tecnología,Teléfonos,Samsung Teléfono inteligente  Azul,4.108,5,0%,1273
5470,MX-2018-161641,25/11/2018,28/11/2018,5/12/2018,2018,Rápido,BH-11935,Begoña Hinojosa,Cliente,Macapá,Amapá,Brasil,Sur,MAT-CA-10002183,Material de oficina,Carpetas,Acco Separadores  Reciclado,238,4,0%,52
5471,MX-2018-161641,25/11/2018,28/11/2018,5/12/2018,2018,Rápido,BH-11935,Begoña Hinojosa,Cliente,Macapá,Amapá,Brasil,Sur,MOB-SI-10000887,Mobiliario,Sillas,Harbour Creations Sillón  Negro,15.706,5,0%,4868
5472,MX-2018-161641,25/11/2018,28/11/2018,5/12/2018,2018,Rápido,BH-11935,Begoña Hinojosa,Cliente,Macapá,Amapá,Brasil,Sur,MAT-SU-10004452,Material de oficina,Suministros,Kleencut Regla  Acero,86,1,0%,29
5473,MX-2018-161641,25/11/2018,28/11/2018,5/12/2018,2018,Rápido,BH-11935,Begoña Hinojosa,Cliente,Macapá,Amapá,Brasil,Sur,MOB-SI-10001568,Mobiliario,Sillas,Office Star Estora  2,2.269,5,0%,952
6517,MX-2015-130400,29/12/2015,1/1/2016,8/1/2016,2016,Urgente,CB-12445,Ciro Becerra,Cliente,Macapá,Amapá,Brasil,Sur,TEC-CO-10004906,Tecnología,Copiadoras,Canon Tinta  Color,6.920,7,0%,3105
8728,MX-2016-117919,29/11/2016,3/12/2016,10/12/2016,2016,Estándar,UR-21355,Unai Rubalcaba,Empresa,Macapá,Amapá,Brasil,Sur,MOB-ME-10001735,Mobiliario,Mesas,Hon Mesa de madera  Blanco,14.227,5,20%,1600
8729,MX-2016-117919,29/11/2016,3/12/2016,10/12/2016,2016,Estándar,UR-21355,Unai Rubalcaba,Empresa,Macapá,Amapá,Brasil,Sur,MAT-SU-10002302,Material de oficina,Suministros,Stiletto Regla  Acero,286,3,0%,88
9973,MX-2016-106243,23/6/2016,28/6/2016,5/7/2016,2016,Estándar,LL-17845,Lidia Laureano,Cliente,Macapá,Amapá,Brasil,Sur,MOB-ME-10002060,Mobiliario,Mesas,Hon Mesa redonda  Montada,5.519,2,20%,690
629,MX-2018-129154,17/12/2018,21/12/2018,28/12/2018,2018,Rápido,MA-18685,María Acosta,Pequeña empresa,Manaus,Amazonas,Brasil,Sur,MAT-SU-10002302,Material de oficina,Suministros,Stiletto Regla  Acero,95,1,0%,29
1063,US-2017-132276,20/2/2017,25/2/2017,4/3/2017,2017,Rápido,AY-11440,Asunción Ybarra,Cliente,Parintins,Amazonas,Brasil,Sur,MOB-MO-10001975,Mobiliario,Mobiliario,Deflect-O Bombilla  Negro,203,4,60%,-51
1626,MX-2015-118983,17/8/2015,18/8/2015,25/8/2015,2015,Urgente,AB-10180,Adela Blanco,Pequeña empresa,Manaus,Amazonas,Brasil,Sur,MOB-SI-10004976,Mobiliario,Sillas,Hon Taburete  Negro,5.374,5,0%,1450
1627,MX-2015-118983,17/8/2015,18/8/2015,25/8/2015,2015,Urgente,AB-10180,Adela Blanco,Pequeña empresa,Manaus,Amazonas,Brasil,Sur,MOB-SI-10000771,Mobiliario,Sillas,Hon Mecedora  Ajustable,2.662,3,0%,53
1836,US-2015-126011,29/9/2015,4/10/2015,11/10/2015,2015,Estándar,IS-16585,Izaskun Sosa,Empresa,Parintins,Amazonas,Brasil,Sur,MOB-SI-10001686,Mobiliario,Sillas,Hon Mecedora  2,1.063,3,60%,-1116
2617,MX-2017-147333,20/9/2017,23/9/2017,30/9/2017,2017,Urgente,SP-20770,Sergio Porras,Empresa,Manaus,Amazonas,Brasil,Sur,MAT-AL-10004832,Material de oficina,Almacenamiento,Tenex Casilleros  Tamaño completo,6.806,5,0%,1293
2618,MX-2017-147333,20/9/2017,23/9/2017,30/9/2017,2017,Urgente,SP-20770,Sergio Porras,Empresa,Manaus,Amazonas,Brasil,Sur,MAT-ET-10000458,Material de oficina,Etiquetas,Novimex Etiquetas de envío  Duradero,455,6,0%,100
2619,MX-2017-147333,20/9/2017,23/9/2017,30/9/2017,2017,Urgente,SP-20770,Sergio Porras,Empresa,Manaus,Amazonas,Brasil,Sur,MAT-AR-10002052,Material de oficina,Arte,Stanley Sacapuntas  Al por mayor,167,1,0%,75
2620,MX-2017-147333,20/9/2017,23/9/2017,30/9/2017,2017,Urgente,SP-20770,Sergio Porras,Empresa,Manaus,Amazonas,Brasil,Sur,MAT-SO-10003619,Material de oficina,Sobres,Jiffy Sobre de hebilla  Plateado,510,7,0%,25
2977,MX-2015-107195,31/8/2015,7/9/2015,14/9/2015,2015,Estándar,SN-20875,Santiago Núñez,Cliente,Manaus,Amazonas,Brasil,Sur,TEC-TE-10004109,Tecnología,Teléfonos,Samsung Teléfono de oficina  Tamaño completo,2.217,5,0%,687
3989,MX-2018-161431,14/11/2018,18/11/2018,25/11/2018,2018,Rápido,IR-16360,Irati Rodríguez,Cliente,Coari,Amazonas,Brasil,Sur,MAT-CA-10000941,Material de oficina,Carpetas,Ibico Separadores  Duradero,208,3,0%,19
3990,MX-2018-161431,14/11/2018,18/11/2018,25/11/2018,2018,Rápido,IR-16360,Irati Rodríguez,Cliente,Coari,Amazonas,Brasil,Sur,MAT-CA-10002699,Material de oficina,Carpetas,Acco Cubierta de carpeta  Reciclado,730,8,0%,66
4184,MX-2017-154144,1/11/2017,6/11/2017,13/11/2017,2017,Estándar,KÁ-17245,Katia Ávila,Cliente,Manaus,Amazonas,Brasil,Sur,MAT-PA-10003921,Material de oficina,Papel,Xerox Papel de tipo pergamino  Reciclado,351,4,0%,21
4185,MX-2017-154144,1/11/2017,6/11/2017,13/11/2017,2017,Estándar,KÁ-17245,Katia Ávila,Cliente,Manaus,Amazonas,Brasil,Sur,MAT-ET-10004182,Material de oficina,Etiquetas,Hon Etiquetas redondas  Blanco,355,8,0%,149
4186,MX-2017-154144,1/11/2017,6/11/2017,13/11/2017,2017,Estándar,KÁ-17245,Katia Ávila,Cliente,Manaus,Amazonas,Brasil,Sur,MOB-SI-10002059,Mobiliario,Sillas,SAFCO Silla de playa  Rojo,659,2,0%,132
4187,MX-2017-154144,1/11/2017,6/11/2017,13/11/2017,2017,Estándar,KÁ-17245,Katia Ávila,Cliente,Manaus,Amazonas,Brasil,Sur,MOB-MO-10001014,Mobiliario,Mobiliario,Rubvermaid Bombilla  Premium,815,7,0%,260
5605,MX-2017-166471,16/3/2017,20/3/2017,27/3/2017,2017,Estándar,AA-11005,Andrés Arellano,Pequeña empresa,Manaus,Amazonas,Brasil,Sur,MAT-SU-10001629,Material de oficina,Suministros,Kleencut Cizallas  Rectangular,2.029,7,0%,791
5606,MX-2017-166471,16/3/2017,20/3/2017,27/3/2017,2017,Estándar,AA-11005,Andrés Arellano,Pequeña empresa,Manaus,Amazonas,Brasil,Sur,MOB-SI-10001965,Mobiliario,Sillas,Office Star Mecedora  2,3.818,4,0%,878
5607,MX-2017-166471,16/3/2017,20/3/2017,27/3/2017,2017,Estándar,AA-11005,Andrés Arellano,Pequeña empresa,Manaus,Amazonas,Brasil,Sur,TEC-CO-10003473,Tecnología,Copiadoras,Brother Fotocopiadora personal  Digital,1.897,2,0%,832
5608,MX-2017-166471,16/3/2017,20/3/2017,27/3/2017,2017,Estándar,AA-11005,Andrés Arellano,Pequeña empresa,Manaus,Amazonas,Brasil,Sur,MAT-ET-10001751,Material de oficina,Etiquetas,Novimex Etiquetas para documentos legales  Blanco,140,2,0%,32
5684,MX-2016-120789,6/7/2016,12/7/2016,19/7/2016,2016,Estándar,AL-11215,Anya Leyva,Pequeña empresa,Manacapuru,Amazonas,Brasil,Sur,MAT-PA-10000227,Material de oficina,Papel,Xerox Agenda  Premium,679,5,0%,258
7001,MX-2015-152366,7/10/2015,11/10/2015,18/10/2015,2015,Estándar,AE-11320,Ares Espinosa,Cliente,Manaus,Amazonas,Brasil,Sur,MOB-SI-10002369,Mobiliario,Sillas,Novimex Silla de playa  Negro,2.031,7,0%,893
7650,MX-2017-115189,16/8/2017,20/8/2017,27/8/2017,2017,Estándar,GV-15430,Germán Vallejo,Cliente,Manaus,Amazonas,Brasil,Sur,MOB-LI-10001117,Mobiliario,Librerías,Dania Librería clásica  Negro,8.242,3,0%,3049
7696,MX-2018-160311,4/7/2018,8/7/2018,15/7/2018,2018,Estándar,LC-17965,Lola Crespo,Empresa,Manaus,Amazonas,Brasil,Sur,MAT-AR-10002284,Material de oficina,Arte,Boston Bolígrafos  Al por mayor,290,3,0%,8
7697,MX-2018-160311,4/7/2018,8/7/2018,15/7/2018,2018,Estándar,LC-17965,Lola Crespo,Empresa,Manaus,Amazonas,Brasil,Sur,TEC-AC-10002787,Tecnología,Accesorios,Logitech Tarjeta de memoria  Programable,4.894,7,0%,440
7698,MX-2018-160311,4/7/2018,8/7/2018,15/7/2018,2018,Estándar,LC-17965,Lola Crespo,Empresa,Manaus,Amazonas,Brasil,Sur,TEC-AC-10003462,Tecnología,Accesorios,Memorex Router  Blanco,13.014,8,0%,5986
8620,MX-2016-149307,13/11/2016,18/11/2016,25/11/2016,2016,Estándar,UR-21400,Unai Reynoso,Cliente,Manaus,Amazonas,Brasil,Sur,MAT-SO-10000158,Material de oficina,Sobres,Kraft Sobre de hebilla  Reciclado,156,3,0%,59
9184,MX-2015-147018,13/10/2015,17/10/2015,24/10/2015,2015,Rápido,OL-19570,Odiseo Liébanas,Cliente,Manaus,Amazonas,Brasil,Sur,MAT-GR-10002614,Material de oficina,Grapas,Advantus Grapadoras  Al por mayor,900,7,0%,242
